Category,Product,Product ID,Type,Weight,SKU,EAN-12
Single Spice,Turmeric,1,Whole,25g,RTK-TUR-WH-025,890110010101
Single Spice,Turmeric,1,Whole,50g,RTK-TUR-WH-050,890110010201
Single Spice,Turmeric,1,Whole,100g,RTK-TUR-WH-100,890110010301
Single Spice,Turmeric,1,Whole,200g,RTK-TUR-WH-200,890110010401
Single Spice,Turmeric,1,Whole,250g,RTK-TUR-WH-250,890110010501
Single Spice,Turmeric,1,Powder,25g,RTK-TUR-PW-025,890120010101
Single Spice,Turmeric,1,Powder,50g,RTK-TUR-PW-050,890120010201
Single Spice,Turmeric,1,Powder,100g,RTK-TUR-PW-100,890120010301
Single Spice,Turmeric,1,Powder,200g,RTK-TUR-PW-200,890120010401
Single Spice,Turmeric,1,Powder,250g,RTK-TUR-PW-250,890120010501
Single Spice,Red Chilli,2,Whole,25g,RTK-RCP-WH-025,890110020101
Single Spice,Red Chilli,2,Whole,50g,RTK-RCP-WH-050,890110020201
Single Spice,Red Chilli,2,Whole,100g,RTK-RCP-WH-100,890110020301
Single Spice,Red Chilli,2,Whole,200g,RTK-RCP-WH-200,890110020401
Single Spice,Red Chilli,2,Whole,250g,RTK-RCP-WH-250,890110020501
Single Spice,Red Chilli,2,Powder,25g,RTK-RCP-PW-025,890120020101
Single Spice,Red Chilli,2,Powder,50g,RTK-RCP-PW-050,890120020201
Single Spice,Red Chilli,2,Powder,100g,RTK-RCP-PW-100,890120020301
Single Spice,Red Chilli,2,Powder,200g,RTK-RCP-PW-200,890120020401
Single Spice,Red Chilli,2,Powder,250g,RTK-RCP-PW-250,890120020501
Single Spice,Coriander,3,Whole,25g,RTK-COR-WH-025,890110030101
Single Spice,Coriander,3,Whole,50g,RTK-COR-WH-050,890110030201
Single Spice,Coriander,3,Whole,100g,RTK-COR-WH-100,890110030301
Single Spice,Coriander,3,Whole,200g,RTK-COR-WH-200,890110030401
Single Spice,Coriander,3,Whole,250g,RTK-COR-WH-250,890110030501
Single Spice,Coriander,3,Powder,25g,RTK-COR-PW-025,890120030101
Single Spice,Coriander,3,Powder,50g,RTK-COR-PW-050,890120030201
Single Spice,Coriander,3,Powder,100g,RTK-COR-PW-100,890120030301
Single Spice,Coriander,3,Powder,200g,RTK-COR-PW-200,890120030401
Single Spice,Coriander,3,Powder,250g,RTK-COR-PW-250,890120030501
Single Spice,Cumin,4,Whole,25g,RTK-CUM-WH-025,890110040101
Single Spice,Cumin,4,Whole,50g,RTK-CUM-WH-050,890110040201
Single Spice,Cumin,4,Whole,100g,RTK-CUM-WH-100,890110040301
Single Spice,Cumin,4,Whole,200g,RTK-CUM-WH-200,890110040401
Single Spice,Cumin,4,Whole,250g,RTK-CUM-WH-250,890110040501
Single Spice,Cumin,4,Powder,25g,RTK-CUM-PW-025,890120040101
Single Spice,Cumin,4,Powder,50g,RTK-CUM-PW-050,890120040201
Single Spice,Cumin,4,Powder,100g,RTK-CUM-PW-100,890120040301
Single Spice,Cumin,4,Powder,200g,RTK-CUM-PW-200,890120040401
Single Spice,Cumin,4,Powder,250g,RTK-CUM-PW-250,890120040501
Single Spice,Fennel,5,Whole,25g,RTK-FEN-WH-025,890110050101
Single Spice,Fennel,5,Whole,50g,RTK-FEN-WH-050,890110050201
Single Spice,Fennel,5,Whole,100g,RTK-FEN-WH-100,890110050301
Single Spice,Fennel,5,Whole,200g,RTK-FEN-WH-200,890110050401
Single Spice,Fennel,5,Whole,250g,RTK-FEN-WH-250,890110050501
Single Spice,Fennel,5,Powder,25g,RTK-FEN-PW-025,890120050101
Single Spice,Fennel,5,Powder,50g,RTK-FEN-PW-050,890120050201
Single Spice,Fennel,5,Powder,100g,RTK-FEN-PW-100,890120050301
Single Spice,Fennel,5,Powder,200g,RTK-FEN-PW-200,890120050401
Single Spice,Fennel,5,Powder,250g,RTK-FEN-PW-250,890120050501
Single Spice,Black Pepper,6,Whole,25g,RTK-BLP-WH-025,890110060101
Single Spice,Black Pepper,6,Whole,50g,RTK-BLP-WH-050,890110060201
Single Spice,Black Pepper,6,Whole,100g,RTK-BLP-WH-100,890110060301
Single Spice,Black Pepper,6,Whole,200g,RTK-BLP-WH-200,890110060401
Single Spice,Black Pepper,6,Whole,250g,RTK-BLP-WH-250,890110060501
Single Spice,Black Pepper,6,Powder,25g,RTK-BLP-PW-025,890120060101
Single Spice,Black Pepper,6,Powder,50g,RTK-BLP-PW-050,890120060201
Single Spice,Black Pepper,6,Powder,100g,RTK-BLP-PW-100,890120060301
Single Spice,Black Pepper,6,Powder,200g,RTK-BLP-PW-200,890120060401
Single Spice,Black Pepper,6,Powder,250g,RTK-BLP-PW-250,890120060501
Single Spice,Green Cardamom,7,Whole,25g,RTK-GCD-WH-025,890110070101
Single Spice,Green Cardamom,7,Whole,50g,RTK-GCD-WH-050,890110070201
Single Spice,Green Cardamom,7,Whole,100g,RTK-GCD-WH-100,890110070301
Single Spice,Green Cardamom,7,Whole,200g,RTK-GCD-WH-200,890110070401
Single Spice,Green Cardamom,7,Whole,250g,RTK-GCD-WH-250,890110070501
Single Spice,Green Cardamom,7,Powder,25g,RTK-GCD-PW-025,890120070101
Single Spice,Green Cardamom,7,Powder,50g,RTK-GCD-PW-050,890120070201
Single Spice,Green Cardamom,7,Powder,100g,RTK-GCD-PW-100,890120070301
Single Spice,Green Cardamom,7,Powder,200g,RTK-GCD-PW-200,890120070401
Single Spice,Green Cardamom,7,Powder,250g,RTK-GCD-PW-250,890120070501
Single Spice,Black Cardamom,8,Whole,25g,RTK-BCD-WH-025,890110080101
Single Spice,Black Cardamom,8,Whole,50g,RTK-BCD-WH-050,890110080201
Single Spice,Black Cardamom,8,Whole,100g,RTK-BCD-WH-100,890110080301
Single Spice,Black Cardamom,8,Whole,200g,RTK-BCD-WH-200,890110080401
Single Spice,Black Cardamom,8,Whole,250g,RTK-BCD-WH-250,890110080501
Single Spice,Black Cardamom,8,Powder,25g,RTK-BCD-PW-025,890120080101
Single Spice,Black Cardamom,8,Powder,50g,RTK-BCD-PW-050,890120080201
Single Spice,Black Cardamom,8,Powder,100g,RTK-BCD-PW-100,890120080301
Single Spice,Black Cardamom,8,Powder,200g,RTK-BCD-PW-200,890120080401
Single Spice,Black Cardamom,8,Powder,250g,RTK-BCD-PW-250,890120080501
Single Spice,Cinnamon,9,Whole,25g,RTK-CIN-WH-025,890110090101
Single Spice,Cinnamon,9,Whole,50g,RTK-CIN-WH-050,890110090201
Single Spice,Cinnamon,9,Whole,100g,RTK-CIN-WH-100,890110090301
Single Spice,Cinnamon,9,Whole,200g,RTK-CIN-WH-200,890110090401
Single Spice,Cinnamon,9,Whole,250g,RTK-CIN-WH-250,890110090501
Single Spice,Cinnamon,9,Powder,25g,RTK-CIN-PW-025,890120090101
Single Spice,Cinnamon,9,Powder,50g,RTK-CIN-PW-050,890120090201
Single Spice,Cinnamon,9,Powder,100g,RTK-CIN-PW-100,890120090301
Single Spice,Cinnamon,9,Powder,200g,RTK-CIN-PW-200,890120090401
Single Spice,Cinnamon,9,Powder,250g,RTK-CIN-PW-250,890120090501
Single Spice,Clove,10,Whole,25g,RTK-CLV-WH-025,890110100101
Single Spice,Clove,10,Whole,50g,RTK-CLV-WH-050,890110100201
Single Spice,Clove,10,Whole,100g,RTK-CLV-WH-100,890110100301
Single Spice,Clove,10,Whole,200g,RTK-CLV-WH-200,890110100401
Single Spice,Clove,10,Whole,250g,RTK-CLV-WH-250,890110100501
Single Spice,Clove,10,Powder,25g,RTK-CLV-PW-025,890120100101
Single Spice,Clove,10,Powder,50g,RTK-CLV-PW-050,890120100201
Single Spice,Clove,10,Powder,100g,RTK-CLV-PW-100,890120100301
Single Spice,Clove,10,Powder,200g,RTK-CLV-PW-200,890120100401
Single Spice,Clove,10,Powder,250g,RTK-CLV-PW-250,890120100501
Single Spice,Bay Leaf,11,Whole,25g,RTK-BAY-WH-025,890110110101
Single Spice,Bay Leaf,11,Whole,50g,RTK-BAY-WH-050,890110110201
Single Spice,Bay Leaf,11,Whole,100g,RTK-BAY-WH-100,890110110301
Single Spice,Bay Leaf,11,Whole,200g,RTK-BAY-WH-200,890110110401
Single Spice,Bay Leaf,11,Whole,250g,RTK-BAY-WH-250,890110110501
Single Spice,Bay Leaf,11,Powder,25g,RTK-BAY-PW-025,890120110101
Single Spice,Bay Leaf,11,Powder,50g,RTK-BAY-PW-050,890120110201
Single Spice,Bay Leaf,11,Powder,100g,RTK-BAY-PW-100,890120110301
Single Spice,Bay Leaf,11,Powder,200g,RTK-BAY-PW-200,890120110401
Single Spice,Bay Leaf,11,Powder,250g,RTK-BAY-PW-250,890120110501
Single Spice,Star Anise,12,Whole,25g,RTK-STA-WH-025,890110120101
Single Spice,Star Anise,12,Whole,50g,RTK-STA-WH-050,890110120201
Single Spice,Star Anise,12,Whole,100g,RTK-STA-WH-100,890110120301
Single Spice,Star Anise,12,Whole,200g,RTK-STA-WH-200,890110120401
Single Spice,Star Anise,12,Whole,250g,RTK-STA-WH-250,890110120501
Single Spice,Star Anise,12,Powder,25g,RTK-STA-PW-025,890120120101
Single Spice,Star Anise,12,Powder,50g,RTK-STA-PW-050,890120120201
Single Spice,Star Anise,12,Powder,100g,RTK-STA-PW-100,890120120301
Single Spice,Star Anise,12,Powder,200g,RTK-STA-PW-200,890120120401
Single Spice,Star Anise,12,Powder,250g,RTK-STA-PW-250,890120120501
Single Spice,Nutmeg,13,Whole,25g,RTK-NUT-WH-025,890110130101
Single Spice,Nutmeg,13,Whole,50g,RTK-NUT-WH-050,890110130201
Single Spice,Nutmeg,13,Whole,100g,RTK-NUT-WH-100,890110130301
Single Spice,Nutmeg,13,Whole,200g,RTK-NUT-WH-200,890110130401
Single Spice,Nutmeg,13,Whole,250g,RTK-NUT-WH-250,890110130501
Single Spice,Nutmeg,13,Powder,25g,RTK-NUT-PW-025,890120130101
Single Spice,Nutmeg,13,Powder,50g,RTK-NUT-PW-050,890120130201
Single Spice,Nutmeg,13,Powder,100g,RTK-NUT-PW-100,890120130301
Single Spice,Nutmeg,13,Powder,200g,RTK-NUT-PW-200,890120130401
Single Spice,Nutmeg,13,Powder,250g,RTK-NUT-PW-250,890120130501
Single Spice,Mace,14,Whole,25g,RTK-MAC-WH-025,890110140101
Single Spice,Mace,14,Whole,50g,RTK-MAC-WH-050,890110140201
Single Spice,Mace,14,Whole,100g,RTK-MAC-WH-100,890110140301
Single Spice,Mace,14,Whole,200g,RTK-MAC-WH-200,890110140401
Single Spice,Mace,14,Whole,250g,RTK-MAC-WH-250,890110140501
Single Spice,Mace,14,Powder,25g,RTK-MAC-PW-025,890120140101
Single Spice,Mace,14,Powder,50g,RTK-MAC-PW-050,890120140201
Single Spice,Mace,14,Powder,100g,RTK-MAC-PW-100,890120140301
Single Spice,Mace,14,Powder,200g,RTK-MAC-PW-200,890120140401
Single Spice,Mace,14,Powder,250g,RTK-MAC-PW-250,890120140501
Single Spice,Mustard,15,Whole,25g,RTK-MUS-WH-025,890110150101
Single Spice,Mustard,15,Whole,50g,RTK-MUS-WH-050,890110150201
Single Spice,Mustard,15,Whole,100g,RTK-MUS-WH-100,890110150301
Single Spice,Mustard,15,Whole,200g,RTK-MUS-WH-200,890110150401
Single Spice,Mustard,15,Whole,250g,RTK-MUS-WH-250,890110150501
Single Spice,Mustard,15,Powder,25g,RTK-MUS-PW-025,890120150101
Single Spice,Mustard,15,Powder,50g,RTK-MUS-PW-050,890120150201
Single Spice,Mustard,15,Powder,100g,RTK-MUS-PW-100,890120150301
Single Spice,Mustard,15,Powder,200g,RTK-MUS-PW-200,890120150401
Single Spice,Mustard,15,Powder,250g,RTK-MUS-PW-250,890120150501
Single Spice,Fenugreek,16,Whole,25g,RTK-FNG-WH-025,890110160101
Single Spice,Fenugreek,16,Whole,50g,RTK-FNG-WH-050,890110160201
Single Spice,Fenugreek,16,Whole,100g,RTK-FNG-WH-100,890110160301
Single Spice,Fenugreek,16,Whole,200g,RTK-FNG-WH-200,890110160401
Single Spice,Fenugreek,16,Whole,250g,RTK-FNG-WH-250,890110160501
Single Spice,Fenugreek,16,Powder,25g,RTK-FNG-PW-025,890120160101
Single Spice,Fenugreek,16,Powder,50g,RTK-FNG-PW-050,890120160201
Single Spice,Fenugreek,16,Powder,100g,RTK-FNG-PW-100,890120160301
Single Spice,Fenugreek,16,Powder,200g,RTK-FNG-PW-200,890120160401
Single Spice,Fenugreek,16,Powder,250g,RTK-FNG-PW-250,890120160501
Single Spice,Ajwain,17,Whole,25g,RTK-AJW-WH-025,890110170101
Single Spice,Ajwain,17,Whole,50g,RTK-AJW-WH-050,890110170201
Single Spice,Ajwain,17,Whole,100g,RTK-AJW-WH-100,890110170301
Single Spice,Ajwain,17,Whole,200g,RTK-AJW-WH-200,890110170401
Single Spice,Ajwain,17,Whole,250g,RTK-AJW-WH-250,890110170501
